,Country or territory,Population (1 July 2022),Population (1 July 2023),Change (%),UN continental region[1],UN statistical subregion[1]
0,,,,,,
1,World,8021407192.0,8091734930.0,+0.88%,–,–
2,India,1425423212.0,1438069596.0,+0.89%,Asia,Southern Asia
3,China[a],1425179569.0,1422584933.0,−0.18%,Asia,Eastern Asia
4,United States,341534046.0,343477335.0,+0.57%,Americas,Northern America
5,Indonesia,278830529.0,281190067.0,+0.85%,Asia,South-eastern Asia
6,Pakistan,243700667.0,247504495.0,+1.56%,Asia,Southern Asia
7,Nigeria,223150896.0,227882945.0,+2.12%,Africa,Western Africa
8,Brazil,210306415.0,211140729.0,+0.40%,Americas,South America
9,Bangladesh,169384897.0,171466990.0,+1.23%,Asia,Southern Asia
10,Russia,145579899.0,145440500.0,−0.10%,Europe,Eastern Europe
11,Mexico,128613117.0,129739759.0,+0.88%,Americas,Central America
12,Ethiopia,125384287.0,128691692.0,+2.64%,Africa,Eastern Africa
13,Japan,124997578.0,124370947.0,−0.50%,Asia,Eastern Asia
14,Philippines,113964338.0,114891199.0,+0.81%,Asia,South-eastern Asia
15,Egypt,112618250.0,114535772.0,+1.70%,Africa,Northern Africa
16,DR Congo,102396968.0,105789731.0,+3.31%,Africa,Middle Africa
17,Vietnam,99680655.0,100352192.0,+0.67%,Asia,South-eastern Asia
18,Iran,89524246.0,90608707.0,+1.21%,Asia,Southern Asia
19,Turkey,87058473.0,87270501.0,+0.24%,Asia,Western Asia
20,Germany,84086227.0,84548231.0,+0.55%,Europe,Western Europe
21,Thailand,71735329.0,71702435.0,−0.05%,Asia,South-eastern Asia
22,United Kingdom,68179315.0,68682962.0,+0.74%,Europe,Northern Europe
23,Tanzania[b],64711821.0,66617606.0,+2.95%,Africa,Eastern Africa
24,France[c],66277409.0,66438822.0,+0.24%,Europe,Western Europe
25,South Africa,62378410.0,63212384.0,+1.34%,Africa,Southern Africa
26,Italy,59619115.0,59499453.0,−0.20%,Europe,Southern Europe
27,Kenya,54252461.0,55339003.0,+2.00%,Africa,Eastern Africa
28,Myanmar,53756787.0,54133798.0,+0.70%,Asia,South-eastern Asia
29,Colombia,51737944.0,52321152.0,+1.13%,Americas,South America
30,South Korea,51782512.0,51748739.0,−0.07%,Asia,Eastern Asia
31,Sudan,49383346.0,50042791.0,+1.34%,Africa,Northern Africa
32,Uganda,47312719.0,48656601.0,+2.84%,Africa,Eastern Africa
33,Spain[d],47828382.0,47911579.0,+0.17%,Europe,Southern Europe
34,Algeria,45477389.0,46164219.0,+1.51%,Africa,Northern Africa
35,Argentina,45407904.0,45538401.0,+0.29%,Americas,South America
36,Iraq,44070551.0,45074049.0,+2.28%,Asia,Western Asia
37,Afghanistan,40578842.0,41454761.0,+2.16%,Asia,Southern Asia
38,Yemen,38222876.0,39390799.0,+3.06%,Asia,Western Asia
39,Canada,38821259.0,39299105.0,+1.23%,Americas,Northern America
40,Poland,38385739.0,38762844.0,+0.98%,Europe,Eastern Europe
41,Ukraine[e],41048766.0,37732836.0,−8.08%,Europe,Eastern Europe
42,Morocco,37329064.0,37712505.0,+1.03%,Africa,Northern Africa
43,Angola,35635029.0,36749906.0,+3.13%,Africa,Middle Africa
44,Uzbekistan,34938955.0,35652307.0,+2.04%,Asia,Central Asia
45,Malaysia,34695493.0,35126298.0,+1.24%,Asia,South-eastern Asia
46,Peru,33475438.0,33845617.0,+1.11%,Americas,South America
47,Ghana,33149152.0,33787914.0,+1.93%,Africa,Western Africa
48,Mozambique,32656246.0,33635160.0,+3.00%,Africa,Eastern Africa
49,Saudi Arabia,32175352.0,32264292.0,+0.28%,Asia,Western Asia
50,Madagascar,30437261.0,31195932.0,+2.49%,Africa,Eastern Africa
51,Ivory Coast,30395002.0,31165654.0,+2.54%,Africa,Western Africa
52,Nepal,29715436.0,29964614.0,+0.84%,Asia,Southern Asia
53,Cameroon,27632771.0,28372687.0,+2.68%,Africa,Middle Africa
54,Venezuela,28213017.0,28300854.0,+0.31%,Americas,South America
55,Australia[f],26200984.0,26451124.0,+0.95%,Oceania,Australia and New Zealand
56,North Korea,26329845.0,26418204.0,+0.34%,Asia,Eastern Asia
57,Niger,25311973.0,26159867.0,+3.35%,Africa,Western Africa
58,Mali,23072640.0,23769127.0,+3.02%,Africa,Western Africa
59,Syria,22462173.0,23594623.0,+5.04%,Asia,Western Asia
60,Taiwan[g],23420111.0,23317145.0,−0.44%,Asia,Eastern Asia
61,Burkina Faso,22509038.0,23025776.0,+2.30%,Africa,Western Africa
62,Sri Lanka,22834965.0,22971617.0,+0.60%,Asia,Southern Asia
63,Malawi,20568728.0,21104482.0,+2.60%,Africa,Eastern Africa
64,Zambia,20152938.0,20723965.0,+2.83%,Africa,Eastern Africa
65,Kazakhstan,20034609.0,20330104.0,+1.47%,Asia,Central Asia
66,Chile,19553036.0,19658835.0,+0.54%,Americas,South America
67,Chad,18455316.0,19319064.0,+4.68%,Africa,Middle Africa
68,Romania,19166772.0,19118479.0,−0.25%,Europe,Eastern Europe
69,Somalia[h],17801897.0,18358615.0,+3.13%,Africa,Eastern Africa
70,Guatemala,17847877.0,18124838.0,+1.55%,Americas,Central America
71,Senegal,17651103.0,18077573.0,+2.42%,Africa,Western Africa
72,Netherlands[i],17904421.0,18092524.0,+1.05%,Europe,Western Europe
73,Ecuador,17823897.0,17980083.0,+0.88%,Americas,South America
74,Cambodia,17201724.0,17423880.0,+1.29%,Asia,South-eastern Asia
75,Zimbabwe,16069056.0,16340822.0,+1.69%,Africa,Eastern Africa
